event_id,source_id,page_reference,quote
7582,937385,https://www.wikidata.org/wiki/Q65297426,
7583,959617,https://www.wikidata.org/wiki/Q65991664,
7584,962045,https://www.wikidata.org/wiki/Q66626347,
7585,968055,https://www.wikidata.org/wiki/Q68441465,
7586,968463,https://www.wikidata.org/wiki/Q68809773,
7587,972140,https://www.wikidata.org/wiki/Q71403421,
7588,1018650,https://www.wikidata.org/wiki/Q75870374,
7589,1061130,https://www.wikidata.org/wiki/Q76547102,
7590,1061281,https://www.wikidata.org/wiki/Q76713152,
7591,1061283,https://www.wikidata.org/wiki/Q76713161,
7592,1061584,https://www.wikidata.org/wiki/Q76920937,
7593,1062337,https://www.wikidata.org/wiki/Q77458574,
7594,1065143,https://www.wikidata.org/wiki/Q79270309,
7595,1065228,https://www.wikidata.org/wiki/Q79313656,
7596,1068429,https://www.wikidata.org/wiki/Q80354730,
7597,1068769,https://www.wikidata.org/wiki/Q80531175,
7598,1071863,https://www.wikidata.org/wiki/Q82095127,
7599,1074112,https://www.wikidata.org/wiki/Q83207524,
7601,1077889,https://www.wikidata.org/wiki/Q84314107,
7602,1085242,https://www.wikidata.org/wiki/Q85745825,
7603,1085243,https://www.wikidata.org/wiki/Q85745847,
7604,1085244,https://www.wikidata.org/wiki/Q85745858,
7605,1085245,https://www.wikidata.org/wiki/Q85745881,
7606,1085246,https://www.wikidata.org/wiki/Q85745901,
7607,1085247,https://www.wikidata.org/wiki/Q85745940,
7608,1085248,https://www.wikidata.org/wiki/Q85745944,
7609,1085249,https://www.wikidata.org/wiki/Q85745974,
7610,1085474,https://www.wikidata.org/wiki/Q85783755,
7611,1085590,https://www.wikidata.org/wiki/Q85800157,
7617,1087878,https://www.wikidata.org/wiki/Q85973240,
7619,1088082,https://www.wikidata.org/wiki/Q85985064,
7620,1088699,https://www.wikidata.org/wiki/Q86001049,
7621,1092005,https://www.wikidata.org/wiki/Q86662120,
7622,1092064,https://www.wikidata.org/wiki/Q86670059,
7623,1092092,https://www.wikidata.org/wiki/Q86674466,
7624,1092511,https://www.wikidata.org/wiki/Q86724009,
7625,1092838,https://www.wikidata.org/wiki/Q86750729,
7627,1102526,https://www.wikidata.org/wiki/Q87769103,
7628,1118572,https://www.wikidata.org/wiki/Q88664721,
7629,1120107,https://www.wikidata.org/wiki/Q88775109,
7630,1133153,https://www.wikidata.org/wiki/Q89574399,
7631,1134260,https://www.wikidata.org/wiki/Q89640491,
7632,1152274,https://www.wikidata.org/wiki/Q90673853,
7633,1171383,https://www.wikidata.org/wiki/Q91753193,
7634,1195938,https://www.wikidata.org/wiki/Q93127983,
7635,1213136,https://www.wikidata.org/wiki/Q94734658,
7636,1242781,https://www.wikidata.org/wiki/Q95454734,
7637,1265008,https://www.wikidata.org/wiki/Q96023960,
7638,1271446,https://www.wikidata.org/wiki/Q96195581,
7639,1277184,https://www.wikidata.org/wiki/Q96373243,
7753,1514273,https://www.wikidata.org/wiki/Q111207495,
7640,1277185,https://www.wikidata.org/wiki/Q96373258,
7641,1277186,https://www.wikidata.org/wiki/Q96373270,
7642,1277187,https://www.wikidata.org/wiki/Q96373275,
7643,1277280,https://www.wikidata.org/wiki/Q96381353,
7644,1277489,https://www.wikidata.org/wiki/Q96405658,
7645,1277571,https://www.wikidata.org/wiki/Q96414271,
7646,1280833,https://www.wikidata.org/wiki/Q96758041,
7647,1281832,https://www.wikidata.org/wiki/Q96859583,
7648,1285568,https://www.wikidata.org/wiki/Q97164453,
7801,1619800,https://www.wikidata.org/wiki/Q115918032,
7655,1287408,https://www.wikidata.org/wiki/Q97279607,
7657,1288470,https://www.wikidata.org/wiki/Q97357203,
7658,1288765,https://www.wikidata.org/wiki/Q97381399,
7660,1293390,https://www.wikidata.org/wiki/Q97672327,
7661,1294480,https://www.wikidata.org/wiki/Q97695722,
7662,1297746,https://www.wikidata.org/wiki/Q97850229,
7664,1308156,https://www.wikidata.org/wiki/Q98408957,
7665,1310935,https://www.wikidata.org/wiki/Q98634438,
7666,1317092,https://www.wikidata.org/wiki/Q99248809,
7667,1321981,https://www.wikidata.org/wiki/Q99526592,
7668,1322328,https://www.wikidata.org/wiki/Q99538973,
7669,1322330,https://www.wikidata.org/wiki/Q99539085,
7670,1323673,https://www.wikidata.org/wiki/Q99593199,
7671,1333991,https://www.wikidata.org/wiki/Q100742153,
7672,1349825,https://www.wikidata.org/wiki/Q101272862,
7674,1374406,https://www.wikidata.org/wiki/Q102406411,
7675,1385724,https://www.wikidata.org/wiki/Q103468871,
7677,1397930,https://www.wikidata.org/wiki/Q104628396,
7678,1398176,https://www.wikidata.org/wiki/Q104642096,
7679,1404291,https://www.wikidata.org/wiki/Q104817493,
7680,1404405,https://www.wikidata.org/wiki/Q104830177,
7682,1404851,https://www.wikidata.org/wiki/Q104865053,
7683,1404915,https://www.wikidata.org/wiki/Q104871750,
7684,1405117,https://www.wikidata.org/wiki/Q104902074,
7685,1410343,https://www.wikidata.org/wiki/Q105275820,
7689,1427137,https://www.wikidata.org/wiki/Q105973572,
7690,1429925,https://www.wikidata.org/wiki/Q106323738,
7691,1433225,https://www.wikidata.org/wiki/Q106548118,
7692,1435769,https://www.wikidata.org/wiki/Q106661379,
7694,1439601,https://www.wikidata.org/wiki/Q106808952,
7696,1442418,https://www.wikidata.org/wiki/Q106967145,
7697,1445745,https://www.wikidata.org/wiki/Q107175921,
7698,1446552,https://www.wikidata.org/wiki/Q107261337,
7699,1447934,https://www.wikidata.org/wiki/Q107331402,
7700,1448333,https://www.wikidata.org/wiki/Q107353393,
7701,1448617,https://www.wikidata.org/wiki/Q107368668,
