event_id,location_id,role
29819,2033702,location
12479,2014275,location
12487,2312127,location
12490,2366227,location
29829,565527,location
12496,2611192,location
12505,1415505,location
12507,2629521,location
12514,2021800,location
12515,2012931,location
29847,2610846,location
12516,2012931,location
12517,1417241,location
12520,2013226,location
12523,2326799,location
12525,1715837,location
12528,2611731,location
12533,818694,location
12539,2611015,location
12542,1416192,location
12545,520960,location
12547,2610827,location
29850,1132773,location
29854,2012921,location
29861,1420221,location
12562,2610779,location
12575,2656054,location
12577,2312937,location
12587,1117866,location
12588,523781,location
12593,2317335,location
12595,2613781,location
12599,2611367,location
