id,event_a_id,event_b_id,direction,layer_type,layer_entity_id,connection_type,strength_score,source_count,time_distance,manual_strength,manual_reason,verification_status,verified_by,verified_at,curated_status,curated_by,curated_at,curation_note,created_at,updated_at
33894,22551,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33895,26640,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33917,16785,24003,forward,person,6910338,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33932,11774,16741,forward,person,6911915,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33934,16790,17386,forward,person,6912981,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33936,17386,23452,forward,person,6912981,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33937,9627,22935,forward,person,6913049,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33938,8331,12055,forward,person,6915711,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33939,8331,16785,forward,person,6915711,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33940,12055,16785,forward,person,6915711,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34031,10728,16368,forward,person,6955462,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34032,10728,16392,forward,person,6955462,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34044,17051,22717,forward,person,6995687,related,14.745041995892464,4,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34063,5265,16742,forward,person,7007136,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34064,11126,25279,forward,person,7008145,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34077,19711,22500,forward,person,7023186,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34078,8205,8340,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34083,8205,25287,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34085,8340,13911,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34086,8340,16825,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34087,8340,19614,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34088,8340,19631,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34090,8340,25431,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34094,13911,25287,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34105,25287,25431,forward,person,7023709,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34112,13722,26941,forward,person,7029285,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34138,5441,8116,forward,person,7048997,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34185,19606,22478,forward,person,7102180,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34190,8736,16013,forward,person,7112264,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34193,11196,17200,forward,person,7112344,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34195,8574,16750,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34197,8574,19596,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34198,8574,19813,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34199,8574,25655,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34205,16768,19813,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34207,19596,19813,forward,person,7115201,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34210,13893,16771,forward,person,7115566,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34226,11237,11308,forward,person,7122582,related,14.745041995892464,4,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34230,23152,25288,forward,person,7125198,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34233,12974,16392,forward,person,7126600,related,14.745041995892464,4,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34237,7301,11677,forward,person,7127283,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34270,5202,12146,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34271,5202,14873,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34272,5202,22504,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34274,8114,12146,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34275,8114,14873,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
34278,12146,14873,forward,person,7166027,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
