event_id,person_id,role,description
5315,1633493,conflict,
13916,1633493,conflict,
25329,1633493,conflict,
5570,1633493,conflict,
8671,1633493,conflict,
20178,1633493,conflict,
22778,1633493,conflict,
25961,1633493,conflict,
6265,1633493,conflict,
8403,1633518,conflict,
16772,1633518,conflict,
20201,1633518,conflict,
6124,1633518,conflict,
5265,1633703,conflict,
13873,1633830,conflict,
22645,1633830,conflict,
16764,1633830,conflict,
15561,1634021,conflict,
16742,1634028,conflict,
17030,1634058,conflict,
25279,1634162,conflict,
8512,1634358,conflict,
16792,1634370,conflict,
16755,1634370,conflict,
5194,1634370,conflict,
22810,1634370,conflict,
17111,1634370,conflict,
19649,1634379,conflict,
5529,1634407,conflict,
14176,1634407,conflict,
14103,1634407,conflict,
16741,1634427,conflict,
16755,1634432,conflict,
5723,1634508,conflict,
25286,1634563,conflict,
25288,1634579,conflict,
25327,1634634,conflict,
16785,1634652,conflict,
11007,1634653,participant_in,
19589,1634664,conflict,
25423,1634796,conflict,
11013,1634796,conflict,
11092,1634796,conflict,
19597,1634796,conflict,
19638,1634820,conflict,
5245,1634820,conflict,
25748,1634837,conflict,
12640,1634837,conflict,
6663,1634837,conflict,
17086,1634874,conflict,
8330,1634874,conflict,
11267,1634874,conflict,
23036,1634937,conflict,
12856,1634937,significant_event,
17309,1634937,significant_event,
17017,1635109,conflict,
19788,1635148,conflict,
25977,1635154,conflict,
8510,1635157,conflict,
25341,1635157,conflict,
22445,1635186,conflict,
20094,1635186,conflict,
8556,1635186,conflict,
14100,1635186,conflict,
14151,1635186,conflict,
5244,1635186,conflict,
19728,1635193,conflict,
22478,1635220,conflict,
16785,1635220,conflict,
5230,1635220,conflict,
25306,1635260,conflict,
19589,1635273,conflict,
5617,1635278,conflict,
19914,1635282,conflict,
19593,1635285,conflict,
19809,1635285,conflict,
11029,1635285,conflict,
23537,1635285,conflict,
14473,1635285,conflict,
7035,1635292,participant_in,
16792,1635335,conflict,
16755,1635335,conflict,
8540,1635344,conflict,
16796,1635381,conflict,
17163,1635381,conflict,
16785,1635386,conflict,
9605,1635402,conflict,
25286,1635414,conflict,
24593,1635414,conflict,
19626,1635420,conflict,
22619,1635420,conflict,
27161,1635420,conflict,
23328,1635464,conflict,
8545,1635464,conflict,
8124,1635476,conflict,
8130,1635476,conflict,
19604,1635487,conflict,
18435,1635487,conflict,
16784,1635487,conflict,
19629,1635487,conflict,
17416,1635503,conflict,
11375,1635524,conflict,
12838,1635529,conflict,
25423,1635529,conflict,
9078,1635615,conflict,
11029,1635615,conflict,
16757,1635674,conflict,
5195,1635678,conflict,
11454,1635710,conflict,
16792,1635713,conflict,
25286,1635741,conflict,
22500,1635767,conflict,
19588,1635801,conflict,
16850,1635903,conflict,
16741,1635950,conflict,
19589,1635950,conflict,
16785,1635963,conflict,
8438,1635987,conflict,
5194,1636105,conflict,
25279,1636107,conflict,
5201,1636135,conflict,
5290,1636179,conflict,
14108,1636179,conflict,
5397,1636234,conflict,
22657,1636234,conflict,
22665,1636234,conflict,
5234,1636234,conflict,
13852,1636234,conflict,
16785,1636262,conflict,
19649,1636328,conflict,
19596,1636335,conflict,
